,input,input,output
,ddx,ddy,acc_nlcr
0,99.4905700683593,35.9374923706054,0.002432357
1,41.9213562011718,83.4136428833007,0.002962675
2,133.11961364746,91.9192581176757,0.002429674
3,92.7287216186523,58.1137428283691,0.002428678
4,31.8883895874023,75.0689239501953,0.003150221
5,56.0293579101562,104.722579956054,0.002928623
6,63.0582695007324,22.8301544189453,0.002255244
7,110.618103027343,79.5473556518554,0.002619926
8,38.9490394592285,125.741752624511,0.002929466
9,17.0833320617675,54.77974319458,0.003003218
10,132.277435302734,48.8138275146484,0.002513873
11,74.7002868652343,95.4364318847656,0.002735338
12,138.24021911621,118.68293762207,0.002384024
13,81.6389236450195,31.4111099243164,0.00234794
14,23.3000431060791,108.932754516601,0.002940532
15,100.330772399902,86.8545913696289,0.002638766
16,125.455657958984,61.8395729064941,0.002360203
17,53.0248718261718,139.543380737304,0.003129589
18,83.5312805175781,115.831466674804,0.00273238
19,140.680053710937,32.2217788696289,0.002526755
20,65.8371810913086,110.07917022705,0.002882897
21,116.592788696289,78.4315719604492,0.002608277
22,115.75284576416,129.31802368164,0.002498169
23,108.401535034179,21.2947578430175,0.002472419
24,22.9917659759521,49.5100021362304,0.003121998
25,94.6608276367187,96.6971817016601,0.002648532
26,141.490264892578,106.577209472656,0.002222299
27,29.216100692749,120.325134277343,0.002847471
28,39.7829513549804,60.4109954833984,0.002941956
29,48.1499137878418,90.0799026489257,0.002965193
30,28.0586948394775,63.4793167114257,0.003103762
31,85.5010910034179,141.321624755859,0.002604085
32,78.2211990356445,77.2960662841796,0.002749838
33,136.425323486328,123.598480224609,0.002454027
34,95.5344543457031,24.6072273254394,0.0023966
35,22.0881690979003,102.068138122558,0.003077512
36,59.3309860229492,134.68911743164,0.003113334
37,117.718704223632,131.248153686523,0.002490305
38,110.367240905761,50.5535850524902,0.002407539
39,88.6324844360351,98.6883468627929,0.002646266
40,66.966812133789,41.4987182617187,0.002414103
41,82.407470703125,59.1838722229003,0.002447537
42,27.1232833862304,137.804473876953,0.002847167
43,54.3052062988281,107.742324829101,0.002937066
44,101.456443786621,33.9615936279296,0.002439216
45,65.5822601318359,144.562225341796,0.003355825
46,75.8617477416992,26.8407077789306,0.002297925
47,131.153869628906,105.69017791748,0.002379354
48,90.7628936767578,75.7759399414062,0.002695745
49,18.2132148742675,123.161712646484,0.002701889
50,32.7898788452148,131.684936523437,0.002881213
51,19.1801223754882,80.0865631103515,0.003481296
52,134.247238159179,23.5220203399658,0.002726579
53,76.7969207763671,101.196495056152,0.002799481
54,70.8340759277343,62.638069152832,0.002489597
55,50.9282112121582,118.097045898437,0.002966745
56,51.0771026611328,45.6991119384765,0.002825719
57,42.6783218383789,134.206909179687,0.002995861
58,30.0801925659179,77.7716064453125,0.00318758
59,144.671264648437,25.0827465057373,0.002713997
60,69.9554443359375,103.534301757812,0.002846238
61,76.1798858642578,63.9700927734375,0.002472644
62,112.585746765136,69.2049560546875,0.002635543
63,62.2932891845703,73.6835021972656,0.002833612
64,112.3921585083,28.6855487823486,0.002474831
65,37.6842575073242,106.283561706542,0.002975213
66,18.8575210571289,42.9508018493652,0.003234722
67,64.926040649414,21.6419811248779,0.002235907
68,80.36669921875,82.2043075561523,0.00273592
69,25.0825233459472,128.444549560546,0.002772881
70,43.9013519287109,52.0693702697753,0.002920417
71,102.113388061523,129.774139404296,0.002519139
72,52.2683982849121,96.6170425415039,0.00295195
73,128.654418945312,136.470916748046,0.00250225
74,82.7748031616211,104.215194702148,0.002752867
75,139.407760620117,75.2939682006836,0.002777997
76,67.6197967529296,121.686744689941,0.002922344
77,73.8361206054687,36.2846603393554,0.002366532
78,129.128234863281,82.5706787109375,0.002570772
79,88.7372589111328,65.5970611572265,0.002438256
80,36.0219955444335,68.661376953125,0.003057562
81,109.468292236328,115.131439208984,0.002559101
82,60.1628875732421,113.224304199218,0.002924154
83,58.9400978088378,31.0563735961914,0.002370315
84,34.830940246582,119.548904418945,0.002898809
85,21.2172203063964,61.1795387268066,0.003067981
86,95.9251174926757,139.707382202148,0.002444023
87,78.8340301513671,86.9269790649414,0.002742932
88,68.8088607788086,78.61279296875,0.00279574
89,142.24722290039,126.180534362792,0.00244055
90,85.646011352539,22.0482292175292,0.002304281
91,41.0556640625,48.7946624755859,0.002942854
92,96.33984375,95.9361343383789,0.002641025
93,121.46459197998,54.5470123291015,0.002361903
94,48.9069595336914,133.152038574218,0.003043166
95,97.4656066894531,27.7982864379882,0.002418173
96,39.8964004516601,105.213371276855,0.002978127
