,input,input,input,output
,ddx,ddy,rrotz,acc_nlcr
0,49.8043098449707,65.2193145751953,90,0.02912706
1,124.647193908691,143.976028442382,90,0.0328371
2,99.4905700683593,35.9374923706054,0,0.002432357
3,41.9213562011718,83.4136428833007,0,0.002962675
4,30.3309440612792,34.851993560791,90,0.04231075
5,86.7655181884765,113.304496765136,90,0.03034709
6,143.398544311523,68.0091552734375,90,0.01807904
7,71.7374267578125,115.303131103515,90,0.03340938
8,77.9545745849609,44.5183944702148,90,0.02221572
9,133.11961364746,91.9192581176757,0,0.002429674
10,92.7287216186523,58.1137428283691,0,0.002428678
11,20.3058853149414,136.91714477539,90,0.04988515
12,31.8883895874023,75.0689239501953,0,0.003150221
13,105.461738586425,122.407814025878,90,0.02908138
14,114.360290527343,26.3473968505859,90,0.01944736
15,56.0293579101562,104.722579956054,0,0.002928623
16,63.0582695007324,22.8301544189453,0,0.002255244
17,119.484916687011,100.427215576171,90,0.02417422
18,110.618103027343,79.5473556518554,0,0.002619926
19,38.9490394592285,125.741752624511,0,0.002929466
20,17.0833320617675,54.77974319458,0,0.003003218
21,91.9182891845703,132.438781738281,90,0.03525973
22,132.277435302734,48.8138275146484,0,0.002513873
23,74.7002868652343,95.4364318847656,0,0.002735338
24,64.6747894287109,72.4417343139648,90,0.02727834
25,138.24021911621,118.68293762207,0,0.002384024
26,81.6389236450195,31.4111099243164,0,0.00234794
27,23.3000431060791,108.932754516601,0,0.002940532
28,45.1736526489257,40.3091735839843,90,0.0316567
29,100.330772399902,86.8545913696289,0,0.002638766
30,125.455657958984,61.8395729064941,0,0.002360203
31,53.0248718261718,139.543380737304,0,0.003129589
32,55.210823059082,39.4374771118164,90,0.02742741
33,126.871940612792,85.7692031860351,90,0.02198788
34,103.246688842773,64.9046096801757,90,0.02029976
35,46.8121185302734,142.33381652832,90,0.04588286
36,25.9620666503906,69.4377365112304,90,0.04225989
37,83.5312805175781,115.831466674804,0,0.00273238
38,140.680053710937,32.2217788696289,0,0.002526755
39,65.8371810913086,110.07917022705,0,0.002882897
40,72.0620727539062,55.8344917297363,90,0.02262161
41,130.393005371093,133.340881347656,90,0.0267211
42,89.5022354125976,46.0537872314453,90,0.02143192
43,15.9288845062255,92.3407669067382,90,0.04752161
44,36.7869033813476,25.6512260437011,90,0.03549105
45,109.209739685058,103.461853027343,90,0.02539674
46,116.592788696289,78.4315719604492,0,0.002608277
47,61.4277458190918,124.900688171386,90,0.04084814
48,58.1756896972656,81.8266220092773,90,0.02917729
49,115.75284576416,129.31802368164,0,0.002498169
50,108.401535034179,21.2947578430175,0,0.002472419
51,33.5665817260742,100.00569152832,90,0.03938081
52,22.9917659759521,49.5100021362304,0,0.003121998
53,94.6608276367187,96.6971817016601,0,0.002648532
54,135.519866943359,51.4170913696289,90,0.01778255
55,79.0932159423828,129.945892333984,90,0.03935637
56,69.0594787597656,27.9111366271972,90,0.02258811
57,141.490264892578,106.577209472656,0,0.002222299
58,84.3732223510742,72.7564392089843,90,0.02532786
59,29.216100692749,120.325134277343,0,0.002847471
60,39.7829513549804,60.4109954833984,0,0.002941956
61,98.1218338012695,139.015060424804,90,0.03384265
62,121.715347290039,42.9393844604492,90,0.01859565
63,48.1499137878418,90.0799026489257,0,0.002965193
64,49.0516548156738,33.6621437072753,90,0.0295092
65,120.839614868164,111.076278686523,90,0.02640496
66,97.2145156860351,70.6644439697265,90,0.02319061
67,40.6528549194336,117.042243957519,90,0.04259003
68,28.0586948394775,63.4793167114257,0,0.003103762
69,85.5010910034179,141.321624755859,0,0.002604085
70,142.649780273437,38.1646995544433,90,0.01826201
71,67.9339599609375,84.604507446289,90,0.0280577
72,78.2211990356445,77.2960662841796,0,0.002749838
73,136.425323486328,123.598480224609,0,0.002454027
74,95.5344543457031,24.6072273254394,0,0.0023966
75,22.0881690979003,102.068138122558,0,0.003077512
76,34.6902313232421,47.1738586425781,90,0.03674682
77,107.239913940429,93.6584091186523,90,0.02403511
78,114.62311553955,56.9239654541015,90,0.019283
79,59.3309860229492,134.68911743164,0,0.003113334
80,60.2683906555175,52.5522956848144,90,0.02355222
81,117.718704223632,131.248153686523,0,0.002490305
82,110.367240905761,50.5535850524902,0,0.002407539
83,35.6593742370605,98.0910720825195,90,0.0391846
84,16.8366050720214,20.1746273040771,90,0.0518838
85,88.6324844360351,98.6883468627929,0,0.002646266
86,129.491607666015,80.7369689941406,90,0.02120674
87,72.9378967285156,127.97021484375,90,0.04067761
88,66.966812133789,41.4987182617187,0,0.002414103
89,139.5244140625,89.0828552246093,90,0.02118996
90,82.407470703125,59.1838722229003,0,0.002447537
91,27.1232833862304,137.804473876953,0,0.002847167
92,45.9381484985351,74.1816711425781,90,0.03093033
93,104.150192260742,121.337615966796,90,0.02923777
94,127.743545532226,29.1837329864501,90,0.0178036
95,54.3052062988281,107.742324829101,0,0.002937066
96,51.8970909118652,67.2102355957031,90,0.02882209
97,126.612915039062,114.640899658203,90,0.02553306
98,101.456443786621,33.9615936279296,0,0.002439216
99,44.014045715332,112.733749389648,90,0.04071355
100,24.1756210327148,36.7818908691406,90,0.04335263
101,24.1756210327148,36.7818908691406,90,0.04335263
102,80.7372817993164,84.0303955078125,90,0.02674483
103,137.370223999023,66.0942687988281,90,0.01830005
104,65.5822601318359,144.562225341796,0,0.003355825
105,75.8617477416992,26.8407077789306,0,0.002297925
106,131.153869628906,105.69017791748,0,0.002379354
107,90.7628936767578,75.7759399414062,0,0.002695745
108,18.2132148742675,123.161712646484,0,0.002701889
109,38.0436782836914,57.5743598937988,90,0.03666078
110,111.489959716796,135.99560546875,90,0.03147385
111,120.388664245605,43.8264732360839,90,0.01873553
112,62.1845512390136,91.150276184082,90,0.02982572
113,56.8990173339843,48.3200988769531,90,0.02724489
114,113.452728271484,94.4690170288086,90,0.02342169
115,104.585762023925,54.0724334716796,90,0.02021221
